gene_id	Regulation	Type
ATF3	up	mRNA
HGS	up	mRNA
SAMHD1	down	mRNA
TAP2	down	mRNA
PPIC	down	mRNA
XPA	down	mRNA
NOP10	down	mRNA
TCTEX1D1	down	mRNA
LGALS3	down	mRNA
TRIM22	down	mRNA
STK10	up	mRNA
TBCA	down	mRNA
MARS	up	mRNA
DTYMK	down	mRNA
TRMT112	down	mRNA
GOLGA2	up	mRNA
POLE4	down	mRNA
NUDT1	down	mRNA
STC2	up	mRNA
TNIP1	up	mRNA
KLHDC8B	down	mRNA
RPS11	down	mRNA
ATXN2L	up	mRNA
RASSF2	up	mRNA
FOSL1	up	mRNA
SHROOM4	up	mRNA
RPL32	down	mRNA
DUT	down	mRNA
UBL5	down	mRNA
NUDT2	down	mRNA
FAM110D	down	mRNA
TXNDC17	down	mRNA
GLRX	down	mRNA
NAV3	up	mRNA
BIRC5	down	mRNA
HIRA	down	mRNA
ACSM3	down	mRNA
RNF213	down	mRNA
MTSS1	up	mRNA
GAMT	down	mRNA
OGFRL1	up	mRNA
CCDC194	down	mRNA
VAMP5	down	mRNA
KITLG	up	mRNA
NDUFB5	down	mRNA
DPY30	down	mRNA
SAP18	down	mRNA
BTC	down	mRNA
MRPL16	down	mRNA
SEMA7A	up	mRNA
LSM10	down	mRNA
VPS29	down	mRNA
LPP	up	mRNA
MRPS14	down	mRNA
PARP12	down	mRNA
PLSCR1	down	mRNA
RPS14	down	mRNA
CPNE5	down	mRNA
ATP5IF1	down	mRNA
ST3GAL5	down	mRNA
ADD3	up	mRNA
ADAMTS18	down	mRNA
SLC38A5	down	mRNA
MAFG	up	mRNA
TMEM255B	down	mRNA
CWC15	down	mRNA
RPL12	down	mRNA
SMURF1	up	mRNA
GJC1	up	mRNA
TXN	down	mRNA
RPL22L1	down	mRNA
HMGA2	up	mRNA
CLDN7	down	mRNA
FAM168B	up	mRNA
SQLE	up	mRNA
PSME2	down	mRNA
SNRPF	down	mRNA
EFNB2	down	mRNA
PRICKLE1	down	mRNA
CPA3	down	mRNA
KIF1A	up	mRNA
SEMA3D	up	mRNA
ACHE	up	mRNA
RNF122	up	mRNA
C4orf33	down	mRNA
MRPL34	down	mRNA
SQSTM1	up	mRNA
TBX1	down	mRNA
ITGB3BP	down	mRNA
LHFPL6	down	mRNA
DLC1	up	mRNA
GADD45A	down	mRNA
MEST	down	mRNA
NDUFB10	down	mRNA
SNRPD2	down	mRNA
C4orf3	down	mRNA
ISCU	down	mRNA
RASSF8	up	mRNA
SLC45A4	down	mRNA
LRP5	down	mRNA
PSMA3	down	mRNA
SCN9A	down	mRNA
PLK3	up	mRNA
WASHC3	down	mRNA
VAMP8	down	mRNA
FAM78A	down	mRNA
SOCS2	down	mRNA
AQP5	down	mRNA
C1orf54	down	mRNA
SLC40A1	down	mRNA
EMCN	down	mRNA
RELT	up	mRNA
EPHA2	up	mRNA
RIN1	down	mRNA
SHISAL1	up	mRNA
PIK3R1	up	mRNA
SGK1	up	mRNA
GSTK1	down	mRNA
CDK18	down	mRNA
NPC1	up	mRNA
SELENOK	down	mRNA
MRPL51	down	mRNA
CDKN3	down	mRNA
SOS2	up	mRNA
APOBEC3F	down	mRNA
IFI27L1	down	mRNA
ACSL1	up	mRNA
KIF21B	up	mRNA
LIFR	down	mRNA
UNC5B	up	mRNA
ITM2B	down	mRNA
MRPL13	down	mRNA
LGALS9	down	mRNA
SELE	up	mRNA
TSPAN7	down	mRNA
CLCN7	up	mRNA
NDUFAF2	down	mRNA
SAMD9L	down	mRNA
MCUB	down	mRNA
CDKN2C	down	mRNA
SMIM26	down	mRNA
TRADD	down	mRNA
RPL11	down	mRNA
SNCG	down	mRNA
RAMP2	down	mRNA
SRC	up	mRNA
ITGB8	up	mRNA
F3	up	mRNA
MTHFD2	up	mRNA
CXCL8	up	mRNA
UNC13A	up	mRNA
FCGRT	down	mRNA
SH3PXD2B	up	mRNA
RPL30	down	mRNA
SAMD4B	up	mRNA
MYADM	up	mRNA
PTGS2	up	mRNA
RPL23	down	mRNA
KIF3C	up	mRNA
CHMP5	down	mRNA
RAB31	up	mRNA
SKAP1	down	mRNA
PLAAT4	down	mRNA
INSIG1	up	mRNA
UBE2C	down	mRNA
USF1	down	mRNA
KCNK1	up	mRNA
SIX4	up	mRNA
MYO1B	up	mRNA
RUNX1T1	down	mRNA
DHRS7	up	mRNA
RPS29	down	mRNA
LAMTOR5	down	mRNA
ZNRD1	down	mRNA
IQGAP2	down	mRNA
CIAO2A	down	mRNA
CMTM4	up	mRNA
PCDH1	up	mRNA
C19orf53	down	mRNA
CMC2	down	mRNA
SCD	up	mRNA
RPS12	down	mRNA
RPL23A	down	mRNA
MYO1E	up	mRNA
SV2A	up	mRNA
MEX3B	up	mRNA
TMEM126A	down	mRNA
MGST3	down	mRNA
PITPNM1	up	mRNA
NBEA	up	mRNA
ARHGAP4	down	mRNA
ARL4A	down	mRNA
FAM167B	down	mRNA
ITGA1	up	mRNA
COMMD6	down	mRNA
ETS1	up	mRNA
ERFE	up	mRNA
TCEAL1	down	mRNA
MRPL36	down	mRNA
ART4	down	mRNA
TGFB3	down	mRNA
MOBP	down	mRNA
GBE1	up	mRNA
GBP3	down	mRNA
TMEM37	down	mRNA
RPL19	down	mRNA
PDZK1IP1	down	mRNA
RPS16	down	mRNA
NENF	down	mRNA
APOD	down	mRNA
HNRNPA1L2	down	mRNA
LAMC2	up	mRNA
ECI2	down	mRNA
COA5	down	mRNA
GAB2	up	mRNA
HOXB2	down	mRNA
RPS26	down	mRNA
PNPLA3	up	mRNA
VWCE	down	mRNA
LRRC1	down	mRNA
MAPK8IP1	up	mRNA
NEIL1	down	mRNA
AAMDC	down	mRNA
SMDT1	down	mRNA
MPZL2	down	mRNA
MMP10	up	mRNA
TTYH3	up	mRNA
XPC	up	mRNA
GMFG	down	mRNA
UQCRB	down	mRNA
TPD52	down	mRNA
RPL34	down	mRNA
UQCR11	down	mRNA
BICD2	up	mRNA
MPP1	down	mRNA
CARD19	down	mRNA
RPS21	down	mRNA
CACHD1	up	mRNA
CSRNP1	up	mRNA
SIRPA	up	mRNA
IRAK2	up	mRNA
SELL	down	mRNA
ARHGAP28	down	mRNA
FER	up	mRNA
RPL37A	down	mRNA
PDGFD	up	mRNA
CBS	up	mRNA
SMIM4	down	mRNA
RPL39L	down	mRNA
PSMG2	down	mRNA
KRT19	down	mRNA
ADNP2	up	mRNA
KDM3A	up	mRNA
GEMIN6	down	mRNA
GALNT15	down	mRNA
CCDC88B	down	mRNA
LYPD6	up	mRNA
ELMO3	down	mRNA
DENND2A	up	mRNA
FOS	up	mRNA
NMB	down	mRNA
PPT2	down	mRNA
LRP8	up	mRNA
PSMA4	down	mRNA
CDYL2	up	mRNA
PODXL	up	mRNA
NR5A2	up	mRNA
HECW2	up	mRNA
MGMT	down	mRNA
ENDOD1	down	mRNA
EGR1	up	mRNA
EXOSC1	down	mRNA
RHOU	down	mRNA
CARD11	up	mRNA
SP6	up	mRNA
KIAA1549	up	mRNA
KAZALD1	down	mRNA
TDRD10	down	mRNA
SNRPE	down	mRNA
CHST3	up	mRNA
SNRPD1	down	mRNA
ANKRD11	up	mRNA
RPL9	down	mRNA
LSM5	down	mRNA
PHF11	down	mRNA
ATP5F1E	down	mRNA
RPS20	down	mRNA
LPIN1	up	mRNA
RPS8	down	mRNA
LIPG	up	mRNA
TMEM204	up	mRNA
HSP90B1	down	mRNA
LASP1	up	mRNA
GK	up	mRNA
HLA-F	down	mRNA
COX6A1	down	mRNA
TJP2	up	mRNA
ALPK3	up	mRNA
TGFBR1	up	mRNA
LY96	down	mRNA
C1QTNF1	up	mRNA
LIMS2	down	mRNA
COPZ2	down	mRNA
CCL1	down	mRNA
DNAJC15	down	mRNA
GSTO1	down	mRNA
HAUS1	down	mRNA
NOXA1	down	mRNA
MRPL11	down	mRNA
APLN	up	mRNA
PLA2G4C	up	mRNA
RPS27A	down	mRNA
TMEM258	down	mRNA
SH3PXD2A	up	mRNA
TMEM140	down	mRNA
RIDA	down	mRNA
TXNRD1	up	mRNA
PSRC1	down	mRNA
ATP5PD	down	mRNA
GRIK4	up	mRNA
KLHL11	up	mRNA
KAT2A	down	mRNA
KLHL3	down	mRNA
ZNF185	up	mRNA
PFDN5	down	mRNA
RLF	up	mRNA
GCA	down	mRNA
SLC36A1	up	mRNA
SAMD14	up	mRNA
SPRY2	up	mRNA
RRAGD	up	mRNA
MRPL27	down	mRNA
VSIG10L	down	mRNA
AR	up	mRNA
MPP4	up	mRNA
PBK	down	mRNA
DNAJC19	down	mRNA
CSGALNACT2	up	mRNA
KLF3	up	mRNA
CDH11	up	mRNA
TNS3	up	mRNA
PLA2G3	up	mRNA
SUSD6	up	mRNA
LONRF1	up	mRNA
GABRE	down	mRNA
C1GALT1C1	down	mRNA
AC073111.4	down	mRNA
ZNF697	up	mRNA
NDST1	up	mRNA
METTL5	down	mRNA
HCFC1R1	down	mRNA
ADAMTSL1	up	mRNA
PRUNE2	down	mRNA
SF3B5	down	mRNA
GSTT2B	down	mRNA
CENPH	down	mRNA
EIF3A	up	mRNA
PANX2	up	mRNA
AGO2	up	mRNA
PM20D2	up	mRNA
MARCH4	up	mRNA
HMGCS1	up	mRNA
CPLX1	down	mRNA
RPS6KA2	up	mRNA
ZC3H12C	up	mRNA
ACP7	up	mRNA
PITX2	up	mRNA
DDIT4	up	mRNA
HEXD	down	mRNA
NRN1	down	mRNA
ODF3B	down	mRNA
RPL36AL	down	mRNA
RPL35	down	mRNA
HMOX1	up	mRNA
TNFAIP3	up	mRNA
RSRP1	down	mRNA
IL11RA	down	mRNA
COA6	down	mRNA
SLC4A7	up	mRNA
CYP1A1	down	mRNA
TNFSF4	up	mRNA
C9orf72	up	mRNA
LSM6	down	mRNA
INKA1	down	mRNA
SMOX	up	mRNA
DAGLA	up	mRNA
REXO1	up	mRNA
XPOT	up	mRNA
B9D1	down	mRNA
TLR2	up	mRNA
TMTC1	down	mRNA
RILP	down	mRNA
PICALM	up	mRNA
CA11	down	mRNA
SDHD	down	mRNA
UBA52	down	mRNA
PTPRK	up	mRNA
CDC42SE1	up	mRNA
SPINK5	down	mRNA
GFPT2	up	mRNA
ZNF281	up	mRNA
HACD1	down	mRNA
FUOM	down	mRNA
IRF2BPL	up	mRNA
ADGRL1	down	mRNA
HMGN5	down	mRNA
ANTXR2	up	mRNA
JARID2	up	mRNA
TPT1	down	mRNA
ATP5MC1	down	mRNA
MT1M	down	mRNA
MAP2	down	mRNA
MAFK	up	mRNA
DLL1	down	mRNA
RAB11FIP1	up	mRNA
IL21R	up	mRNA
SPEN	up	mRNA
MCM2	up	mRNA
LTV1	down	mRNA
PRR16	up	mRNA
ZNF32	down	mRNA
ASRGL1	down	mRNA
GLIS2	up	mRNA
DMAC1	down	mRNA
MAML2	up	mRNA
NTN1	up	mRNA
MAPKBP1	up	mRNA
ITPRIP	up	mRNA
B3GALT4	down	mRNA
TET3	up	mRNA
SNAPC5	down	mRNA
KLF13	up	mRNA
NACA	down	mRNA
TMEM235	down	mRNA
ST5	up	mRNA
RPL24	down	mRNA
ETHE1	down	mRNA
EIF3C	up	mRNA
TUBB2B	up	mRNA
CHST6	up	mRNA
CLDN23	down	mRNA
ISG20	down	mRNA
TKFC	down	mRNA
RAI1	up	mRNA
ITGAE	down	mRNA
FKBP7	down	mRNA
SLC35A1	down	mRNA
SEMA4B	up	mRNA
