gene_id	Regulation	Type
DOT1L	up	mRNA
CTNS	up	mRNA
ATP6V0E1	down	mRNA
TRIM28	up	mRNA
ELOC	down	mRNA
MMP2	up	mRNA
RPL37	down	mRNA
CC2D1A	up	mRNA
SNRPF	down	mRNA
PSMA5	down	mRNA
RNF122	up	mRNA
TCEAL8	down	mRNA
ARL6IP5	down	mRNA
VPS18	up	mRNA
SREBF1	up	mRNA
GRASP	up	mRNA
DYRK1B	up	mRNA
CHAC1	up	mRNA
COPS4	down	mRNA
SEPTIN4	down	mRNA
SLC6A8	up	mRNA
GCH1	down	mRNA
SV2A	up	mRNA
FOXP4	up	mRNA
SNAPIN	down	mRNA
CARD16	down	mRNA
SH3BGRL3	up	mRNA
BEX3	down	mRNA
RANGAP1	up	mRNA
FRY	down	mRNA
TMEM173	up	mRNA
ATN1	up	mRNA
FLNA	up	mRNA
TMEM132A	up	mRNA
REEP5	down	mRNA
GIT1	up	mRNA
CDR2L	up	mRNA
SPCS1	down	mRNA
RPA3	down	mRNA
PALMD	down	mRNA
CRTC1	up	mRNA
SMTN	up	mRNA
RAB11A	down	mRNA
CASP4	down	mRNA
LTBP4	up	mRNA
MRPS22	down	mRNA
BIRC5	down	mRNA
GJA4	down	mRNA
IFI35	down	mRNA
NOP10	down	mRNA
GIGYF1	up	mRNA
FHL2	down	mRNA
PARP14	down	mRNA
DECR1	down	mRNA
SLC35C2	up	mRNA
RPL27	down	mRNA
DNAJC19	down	mRNA
HMGXB3	up	mRNA
AP3S1	down	mRNA
CYTH2	up	mRNA
IRF2BP1	up	mRNA
MT-ATP6	up	mRNA
TYK2	up	mRNA
MRPL57	down	mRNA
SELENOK	down	mRNA
SLC52A2	up	mRNA
RPL10A	down	mRNA
GIMAP8	down	mRNA
STEAP1B	down	mRNA
PTTG1	down	mRNA
RPL30	down	mRNA
NAA20	down	mRNA
NES	up	mRNA
PACS2	up	mRNA
SGSH	up	mRNA
TPRN	up	mRNA
SBF1	up	mRNA
CHCHD2	down	mRNA
NDUFAB1	down	mRNA
FMNL1	up	mRNA
TM2D2	down	mRNA
KIF21B	up	mRNA
MRPS36	down	mRNA
GCA	down	mRNA
KLHL6	up	mRNA
SERPINE2	up	mRNA
STRN4	up	mRNA
CEP131	up	mRNA
SORBS3	up	mRNA
TOR4A	up	mRNA
PTPN23	up	mRNA
